,id,listing_url,name,prop_type,room_type,bed_type,min_nights,max_nights,cancel_pol,accommodates,bedrooms,beds,no_of_reviews,bathrooms,price,cleaning_fee,extra_ppl,guests_incl,picture_url,review_sc_rtg,host_id,host_name,host_resp_time,host_resp_rate,host_super_host,host_id_verified,amenities,addr_loctype,addr_longitude,addr_latitude,addr_loc_exact,addr_street,addr_govt_area,addr_country,avail_30,avail_60,avail_90,avail_365
14,10115921,https://www.airbnb.com/rooms/10115921,GOLF ROYAL RESİDENCE TAXİM(1+1):3,Serviced apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,4,2,4,3,1.0,838.0,0.0,0.0,1.0,https://a0.muscache.com/im/pictures/fbdaf067-9682-48a6-9838-f51589d4791a.jpg?aki_policy=large,67,51471538,Ahmet,within an hour,100,No,No," 24-hour check-in,Air conditioning,Building staff,Buzzer/wireless intercom,Cable TV,Carbon monoxide detector,Crib,Doorman,Dryer,Elevator,Essentials,Family/kid friendly,Fire extinguisher,First aid kit,Hair dryer,Hangers,Heating,Hot water,Internet,Iron,Kitchen,Laptop friendly workspace,Long term stays allowed,Luggage dropoff allowed,Paid parking off premises,Safety card,Self check-in,Shampoo,Smoke detector,Smoking allowed,Suitable for events,TV,Wheelchair accessible,Wifi,",Point,28.98713,41.04841,No,"Şişli, İstanbul, Turkey",Sisli,Turkey,30,60,90,365
15,10083468,https://www.airbnb.com/rooms/10083468,Be Happy in Porto,Loft,Entire home/apt,Real Bed,2,1125,moderate,2,1,1,178,1.0,30.0,10.0,0.0,1.0,https://a0.muscache.com/im/pictures/9420dabf-661e-4e86-b69c-84d90ceeedb5.jpg?aki_policy=large,97,27518920,Fábio,within an hour,90,Yes,Yes," Accessible-height bed,Bed linens,Cable TV,Coffee maker,Cooking basics,Dishes and silverware,Essentials,Extra pillows and blankets,Fire extinguisher,First aid kit,Hair dryer,Handheld shower head,Hangers,Hot water,Iron,Kitchen,Laptop friendly workspace,Long term stays allowed,Microwave,Paid parking on premises,Refrigerator,Smoking allowed,Step-free access,Step-free access,Step-free access,Stove,TV,Well-lit path to entrance,Wide clearance to bed,Wifi,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,",Point,-8.61123,41.15225,No,"Porto, Porto, Portugal","Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Portugal,16,40,67,335
16,10117617,https://www.airbnb.com/rooms/10117617,A Casa Alegre é um apartamento T1.,Apartment,Entire home/apt,Real Bed,7,180,moderate,2,1,1,12,1.0,40.0,15.0,0.0,2.0,https://a0.muscache.com/im/pictures/8845f3f6-9775-4c14-9486-fe0997611bda.jpg?aki_policy=large,96,51920973,Manuela,within a day,100,No,Yes," Bathtub,Beachfront,Buzzer/wireless intercom,Elevator,Essentials,Family/kid friendly,Fire extinguisher,First aid kit,Hangers,Heating,Iron,Kitchen,Laptop friendly workspace,Safety card,Shampoo,TV,Washer,translation missing: en.hosting_amenity_49,",Point,-8.75383,41.3596,No,"Vila do Conde, Porto, Portugal",Vila do Conde,Portugal,0,0,0,46
17,10133350,https://www.airbnb.com/rooms/10133350,2 bedroom Upper east side,Apartment,Entire home/apt,Real Bed,2,7,strict_14_with_grace_period,5,2,2,9,1.0,275.0,35.0,0.0,1.0,https://a0.muscache.com/im/pictures/d9886a79-0633-4ab4-b03a-7686bab13d71.jpg?aki_policy=large,90,52004369,Chelsea,Not Specified,0,No,Yes," Air conditioning,Buzzer/wireless intercom,Cable TV,Essentials,Family/kid friendly,Hair dryer,Heating,Internet,Iron,Kitchen,Laptop friendly workspace,Pets allowed,Pets live on this property,Shampoo,TV,Wifi,",Point,-73.95854,40.7664,No,"New York, NY, United States",Upper East Side,United States,0,0,0,0
18,10051164,https://www.airbnb.com/rooms/10051164,Catete's Colonial Big Hause Room B,House,Private room,Real Bed,2,1125,strict_14_with_grace_period,8,1,8,1,4.0,250.0,0.0,40.0,4.0,https://a0.muscache.com/im/pictures/b2119f25-42e1-4770-8072-20de92e65893.jpg?aki_policy=large,80,51326285,Beatriz,within an hour,80,No,Yes," Air conditioning,Cable TV,Essentials,Family/kid friendly,Fire extinguisher,First aid kit,Internet,Kitchen,Smoking allowed,TV,Wifi,",Point,-43.18015675229857,-22.92638234778768,Yes,"Rio de Janeiro, Rio de Janeiro, Brazil",Catete,Brazil,10,10,21,296
19,10082307,https://www.airbnb.com/rooms/10082307,Double Room en-suite (307),Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,2,1,1,0,1.0,361.0,0.0,130.0,2.0,https://a0.muscache.com/im/pictures/8ee32fb6-2094-42ee-ae6c-ff40b479f9a7.jpg?aki_policy=large,0,51289938,Ken,within an hour,90,No,No," Air conditioning,Doorman,Elevator,Family/kid friendly,Hair dryer,Hangers,Internet,Iron,Shampoo,TV,Wheelchair accessible,Wifi,",Point,114.17158,22.30469,Yes,"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,Hong Kong,30,60,90,365
20,10069642,https://www.airbnb.com/rooms/10069642,Ótimo Apto proximo Parque Olimpico,Apartment,Entire home/apt,Real Bed,15,20,strict_14_with_grace_period,5,2,2,0,2.0,858.0,112.0,75.0,1.0,https://a0.muscache.com/im/pictures/5b1f4beb-6e06-41f0-970b-044f2f28d957.jpg?aki_policy=large,0,51670240,Jonathan,Not Specified,0,No,No," Air conditioning,Buzzer/wireless intercom,Cable TV,Doorman,Elevator,Essentials,Family/kid friendly,Free parking on premises,Gym,Hair dryer,Internet,Iron,Kitchen,TV,Washer,Wheelchair accessible,Wifi,",Point,-43.4311123147628,-23.00035792660916,No,"Rio de Janeiro, Rio de Janeiro, Brazil",Recreio dos Bandeirantes,Brazil,0,0,0,0
21,10108388,https://www.airbnb.com/rooms/10108388,Sydney Hyde Park City Apartment (checkin from 6am),Apartment,Entire home/apt,Real Bed,2,30,moderate,2,1,1,109,1.0,185.0,120.0,0.0,1.0,https://a0.muscache.com/im/pictures/a2e7de4a-6349-4515-acd3-c788d6f2abcf.jpg?aki_policy=large,100,16187044,Desireé,within an hour,100,Yes,Yes," Air conditioning,Bed linens,Building staff,Carbon monoxide detector,Cleaning before checkout,Coffee maker,Cooking basics,Dishes and silverware,Dishwasher,Dryer,Elevator,Essentials,Extra pillows and blankets,Fire extinguisher,First aid kit,Flat path to front door,Gym,Hair dryer,Hangers,Heating,Hot water,Iron,Kitchen,Laptop friendly workspace,Microwave,Oven,Patio or balcony,Pool,Private living room,Refrigerator,Self check-in,Shampoo,Smoke detector,Step-free access,Step-free access,Stove,TV,Washer,Well-lit path to entrance,Wifi,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,",Point,151.21346,-33.87603,No,"Darlinghurst, NSW, Australia",Sydney,Australia,5,16,35,265
22,10082422,https://www.airbnb.com/rooms/10082422,Nice room in Barcelona Center,Apartment,Private room,Real Bed,1,9,flexible,2,1,2,0,1.0,50.0,10.0,0.0,1.0,https://a0.muscache.com/im/pictures/aed1923a-69a6-4614-99d0-fd5c8f41ebda.jpg?aki_policy=large,0,30393403,Anna,Not Specified,0,No,No," Elevator,Hair dryer,Heating,Internet,Iron,Kitchen,Laptop friendly workspace,Shampoo,Washer,Wifi,",Point,2.16942,41.40082,Yes,"Barcelona, Catalunya, Spain",la Dreta de l'Eixample,Spain,0,0,0,0
23,10120414,https://www.airbnb.com/rooms/10120414,The LES Apartment,Apartment,Entire home/apt,Real Bed,3,1125,flexible,3,1,1,0,1.0,150.0,0.0,0.0,1.0,https://a0.muscache.com/im/pictures/0113fa69-96c5-4241-a949-854a48d8d9e0.jpg?aki_policy=large,0,33231070,Mert,Not Specified,0,No,Yes," 24-hour check-in,Air conditioning,Buzzer/wireless intercom,Dryer,Essentials,Family/kid friendly,Hair dryer,Hangers,Internet,Iron,Kitchen,Laptop friendly workspace,Shampoo,TV,Washer,Wifi,",Point,-73.98944,40.72063,No,"New York, NY, United States",Lower East Side,United States,0,0,0,0
24,10138784,https://www.airbnb.com/rooms/10138784,Room Close to LGA and 35 mins to Times Square,Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,2,1,1,123,1.0,46.0,15.0,10.0,1.0,https://a0.muscache.com/im/pictures/f1c9e2c8-c619-4c97-afab-b8bf0ae9ea1d.jpg?aki_policy=large,99,52031360,Cheer,within an hour,100,Yes,Yes," Air conditioning,Bed linens,Buzzer/wireless intercom,Dog(s),Elevator,Essentials,First aid kit,Hair dryer,Hangers,Heating,Host greets you,Hot water,Internet,Other pet(s),Pets live on this property,Shampoo,Wifi,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,",Point,-73.88025,40.74953,Yes,"Queens, NY, United States",Jackson Heights,United States,30,60,90,365
25,10030955,https://www.airbnb.com/rooms/10030955,Apt Linda Vista Lagoa - Rio,Apartment,Private room,Real Bed,1,1125,flexible,2,1,1,0,2.0,701.0,250.0,0.0,1.0,https://a0.muscache.com/im/pictures/59c516bd-c7c3-4dae-8625-aff5f55ece53.jpg?aki_policy=large,0,51496939,Livia,Not Specified,0,No,No," 24-hour check-in,Air conditioning,Buzzer/wireless intercom,Cable TV,Doorman,Elevator,Essentials,Family/kid friendly,Free parking on premises,Gym,Internet,Kitchen,Pool,TV,Washer,Wifi,",Point,-43.205047082633435,-22.971950988341874,Yes,"Rio de Janeiro, Rio de Janeiro, Brazil",Lagoa,Brazil,28,58,88,363
26,10006546,https://www.airbnb.com/rooms/10006546,Ribeira Charming Duplex,House,Entire home/apt,Real Bed,2,30,moderate,8,3,5,51,1.0,80.0,35.0,15.0,6.0,https://a0.muscache.com/im/pictures/e83e702f-ef49-40fb-8fa0-6512d7e26e9b.jpg?aki_policy=large,89,51399391,Ana&Gonçalo,within an hour,100,No,Yes," Bed linens,Buzzer/wireless intercom,Cable TV,Cleaning before checkout,Coffee maker,Cooking basics,Dishes and silverware,Dishwasher,Essentials,Extra pillows and blankets,Family/kid friendly,Fire extinguisher,First aid kit,Hair dryer,Hangers,Heating,Hot water,Iron,Kitchen,Microwave,Oven,Pack ’n Play/travel crib,Paid parking off premises,Pets allowed,Refrigerator,Room-darkening shades,Smoking allowed,Stove,TV,Washer,Waterfront,Wifi,",Point,-8.61308,41.1413,No,"Porto, Porto, Portugal","Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Portugal,28,47,74,239
27,10047964,https://www.airbnb.com/rooms/10047964,Charming Flat in Downtown Moda,House,Entire home/apt,Real Bed,2,1125,flexible,6,2,6,1,1.0,527.0,211.0,211.0,1.0,https://a0.muscache.com/im/pictures/231120b6-e6e5-4514-93cd-53722ac67de1.jpg?aki_policy=large,100,1241644,Zeynep,Not Specified,0,No,Yes," 24-hour check-in,Cable TV,Cat(s),Essentials,Family/kid friendly,Free parking on premises,Hair dryer,Hangers,Heating,Internet,Iron,Kitchen,Laptop friendly workspace,Pets allowed,Pets live on this property,Shampoo,TV,Washer,Wifi,",Point,29.03133,40.98585,Yes,"Kadıköy, İstanbul, Turkey",Kadikoy,Turkey,27,57,87,362
28,1001265,https://www.airbnb.com/rooms/1001265,Ocean View Waikiki Marina w/prkg,Condominium,Entire home/apt,Real Bed,3,365,strict_14_with_grace_period,2,1,1,96,1.0,115.0,100.0,0.0,1.0,https://a0.muscache.com/im/pictures/15037101/5aff14a7_original.jpg?aki_policy=large,84,5448114,David,within an hour,98,No,No," Air conditioning,BBQ grill,Bed linens,Cable TV,Coffee maker,Cooking basics,Disabled parking spot,Dishes and silverware,Dryer,Elevator,Essentials,Ethernet connection,Extra pillows and blankets,Free parking on premises,Garden or backyard,Hair dryer,Hangers,Hot tub,Hot water,Iron,Kitchen,Laptop friendly workspace,Lockbox,Microwave,Pool,Refrigerator,Self check-in,Shampoo,Step-free access,Step-free access,Stove,TV,Washer,Well-lit path to entrance,Wide clearance to bed,Wifi,",Point,-157.83919,21.28634,Yes,"Honolulu, HI, United States",Primary Urban Center,United States,16,46,76,343
29,10116256,https://www.airbnb.com/rooms/10116256,GOLF ROYAL RESIDENCE SUİTES(2+1)-2,Serviced apartment,Entire home/apt,Real Bed,1,1125,moderate,6,2,5,0,2.0,997.0,0.0,0.0,1.0,https://a0.muscache.com/im/pictures/79955df9-923e-44ee-bc3c-5e88041a8c53.jpg?aki_policy=large,0,51471538,Ahmet,within an hour,100,No,No," 24-hour check-in,Air conditioning,Building staff,Buzzer/wireless intercom,Carbon monoxide detector,Doorman,Dryer,Elevator,Essentials,Family/kid friendly,Fire extinguisher,Hair dryer,Hangers,Heating,Hot water,Internet,Iron,Kitchen,Laptop friendly workspace,Long term stays allowed,Luggage dropoff allowed,Paid parking off premises,Self check-in,Shampoo,Smoke detector,Smoking allowed,Suitable for events,TV,Washer,Wheelchair accessible,Wifi,",Point,28.98818,41.04772,No,"Şişli, İstanbul, Turkey",Sisli,Turkey,30,60,90,365
30,10109896,https://www.airbnb.com/rooms/10109896,THE Place to See Sydney's FIREWORKS,House,Entire home/apt,Real Bed,2,1125,moderate,2,1,1,0,2.5,250.0,150.0,0.0,1.0,https://a0.muscache.com/im/pictures/aca46512-3f26-432e-8114-e13fa5707217.jpg?aki_policy=large,0,6517277,Kristin,Not Specified,0,No,No," Air conditioning,Buzzer/wireless intercom,Cable TV,Dryer,Essentials,Family/kid friendly,Hair dryer,Hangers,Heating,Iron,Kitchen,Laptop friendly workspace,Shampoo,Smoke detector,TV,Washer,Wifi,",Point,151.17956,-33.86296,Yes,"Rozelle, NSW, Australia",Leichhardt,Australia,0,0,0,0
31,10057447,https://www.airbnb.com/rooms/10057447,Modern Spacious 1 Bedroom Loft,Apartment,Entire home/apt,Real Bed,1,1125,flexible,4,1,2,0,1.0,50.0,0.0,31.0,1.0,https://a0.muscache.com/im/pictures/9fa69ad8-c9be-45dd-966b-b8f59bdccb2b.jpg?aki_policy=large,0,51612949,Konstantin,Not Specified,0,No,No," 24-hour check-in,Dryer,Essentials,Family/kid friendly,Fire extinguisher,First aid kit,Hangers,Heating,Internet,Iron,Kitchen,Laptop friendly workspace,Safety card,Shampoo,Smoke detector,Washer,Wifi,",Point,-73.59111,45.51889,Yes,"Montréal, Québec, Canada",Le Plateau-Mont-Royal,Canada,0,0,0,0
32,10057826,https://www.airbnb.com/rooms/10057826,Deluxe Loft Suite,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,4,0,2,5,1.0,205.0,0.0,0.0,1.0,https://a0.muscache.com/im/pictures/40ace1e3-4917-46e5-994f-30a5965f5159.jpg?aki_policy=large,88,47554473,Mae,within a few hours,100,No,No," 24-hour check-in,Air conditioning,Cable TV,Carbon monoxide detector,Doorman,Dryer,Elevator,Essentials,Family/kid friendly,Fire extinguisher,First aid kit,Gym,Hair dryer,Hangers,Heating,Internet,Iron,Kitchen,Shampoo,Smoke detector,TV,Washer,Wifi,",Point,-73.94472,40.72778,Yes,"Brooklyn, NY, United States",Greenpoint,United States,30,31,31,243
33,10092679,https://www.airbnb.com/rooms/10092679,Cozy house at Beyoğlu,Apartment,Private room,Pull-out Sofa,2,1125,flexible,2,1,1,27,1.0,58.0,0.0,60.0,1.0,https://a0.muscache.com/im/pictures/23876199-7472-48f4-b215-7c727be47fd7.jpg?aki_policy=large,99,21331922,Ali,within an hour,100,Yes,Yes," Bed linens,Breakfast,Cat(s),Coffee maker,Cooking basics,Dishwasher,Essentials,Extra pillows and blankets,Free street parking,Hair dryer,Hangers,Heating,Host greets you,Hot water,Iron,Kitchen,Laptop friendly workspace,Lock on bedroom door,Luggage dropoff allowed,Patio or balcony,Pets live on this property,Refrigerator,Shampoo,Smoking allowed,Washer,Wifi,",Point,28.95825,41.03777,No,"Beyoğlu, İstanbul, Turkey",Beyoglu,Turkey,3,19,37,37
34,10228731,https://www.airbnb.com/rooms/10228731,Quarto inteiro na Tijuca,Apartment,Private room,Real Bed,1,15,flexible,1,1,1,1,2.0,149.0,30.0,0.0,1.0,https://a0.muscache.com/im/pictures/de6ab94d-9bcb-4f57-80f6-388aeaaa89c6.jpg?aki_policy=large,100,12673423,Gilberto,Not Specified,0,No,No," Family/kid friendly,Free parking on premises,Internet,Kitchen,Washer,Wifi,",Point,-43.247421907135774,-22.936203246553816,No,"Rio de Janeiro, Rio de Janeiro, Brazil",Tijuca,Brazil,28,58,88,178
35,1019168,https://www.airbnb.com/rooms/1019168,"Cozy Nest, heart of the Plateau",Apartment,Private room,Real Bed,2,120,strict_14_with_grace_period,1,1,1,62,1.0,34.0,25.0,10.0,1.0,https://a0.muscache.com/im/pictures/a27beb17-c028-49a1-a374-9f4244f7b2ff.jpg?aki_policy=large,98,39300,Lilou,within a day,100,Yes,Yes," BBQ grill,Cat(s),Coffee maker,Cooking basics,Dishes and silverware,Dryer,Essentials,Family/kid friendly,Fire extinguisher,First aid kit,Free street parking,Garden or backyard,Hair dryer,Hangers,Heating,Hot water,Iron,Kitchen,Laptop friendly workspace,Lockbox,Long term stays allowed,Luggage dropoff allowed,Microwave,Oven,Paid parking off premises,Pets live on this property,Refrigerator,Self check-in,Shampoo,Smoke detector,Stove,TV,Washer,Wifi,",Point,-73.58774,45.52028,Yes,"Montreal, QC, Canada",Le Plateau-Mont-Royal,Canada,0,0,0,0
